Area,Eccentricity,circularity,extent,class
44934,0.9912219323,0.2602665592,0.6793359942,bt
3983,0.9911765346,0.2577268655,0.7126498479,bt
150029,0.9841802996,0.2588210438,0.2850008358,bt
5881,0.9895275518,0.2749321361,0.2872984856,bt
8048,0.9841962011,0.3324151515,0.2303113553,bt
3876,0.9912054674,0.259196692,0.7453846154,bt
14197,0.968857239,0.3362154624,0.3455519046,bt
22208,0.9912615351,0.2464673094,0.6995526996,bt
4238,0.9899301654,0.2871293198,0.7306896552,bt
5861,0.9908927134,0.2363760533,0.7249226964,bt
5167,0.9918712517,0.240135668,0.7153537311,bt
8849,0.989036952,0.2869091657,0.1941336492,bt
11682,0.9911931289,0.2519879561,0.7255900621,bt
7799,0.9849254393,0.3139060756,0.2164224664,bt
99777,0.9939291337,0.2193234908,0.3099338365,bt
926301,0.9907584347,0.2406890195,0.1656123188,bt
5280,0.986432591,0.3101229649,0.2178577323,bt
12968,0.9897863745,0.2783271969,0.750462963,bt
6901,0.9905731422,0.2578032382,0.1975778745,bt
8078,0.9892150432,0.2694667777,0.1831746032,bt
9134,0.9850559063,0.3139838353,0.2552537447,bt
278903,0.9870728173,0.3193692262,0.6720959094,bt
13539,0.9750147688,0.3837850009,0.2759907045,bt
13500,0.97,0.38,0.27,bt
38343,0.9910816677,0.2370268899,0.7454651502,bt
4731,0.9910788281,0.262609411,0.7415360502,bt
4700,0.9920065825,0.2654278612,0.7841174508,bt
6658,0.9912452553,0.2445034447,0.1639820698,bt
8327,0.9855534632,0.3027530684,0.2150123941,bt
10,0.7162849524,1.208551121,0.625,ft
34414,0.9968449499,0.03960840846,0.03838046783,ft
192,0.9566340688,0.148475309,0.6018808777,ft
1301,0.9973869901,0.03811454685,0.0309584999,ft
2363,0.9936034798,0.0672901689,0.05834567901,ft
2363,0.99,0.068,0.04,ft
3972,0.9850373027,0.08391312134,0.08440647711,ft
3945,0.99,0.085,0.085547,ft
3977,0.9919357397,0.04983512313,0.1232414007,ft
